id;code;name;first_processing_time;business_processing_time;premium_economy_processing_time;economy_processing_time;first_processing_cost;business_processing_cost;premium_economy_processing_cost;economy_processing_cost;first_loading_cost;business_loading_cost;premium_economy_loading_cost;economy_loading_cost
8aefe544-6d88-4e04-84be-88a95812c344;HUB1;Main Hub Airport;6;4;2;1;8.0;6.0;2.0;1.0;1.0;0.75;0.5;0.5
b543decd-6239-4adb-92e2-de1cd4aa3413;QIDQ;Airport QIDQ;43;32;23;6;7.39;4.07;3.94;1.99;3.22;2.49;1.87;1.09
4a32e631-1538-438a-a1b7-3a9330f05679;RWIU;Airport RWIU;32;30;9;6;7.04;6.8;4.03;1.57;3.28;2.85;2.37;1.0
c5e5b2c0-2b51-4d3d-9012-a49461bf49a6;AFPJ;Airport AFPJ;37;34;21;5;6.38;4.76;4.54;1.78;2.75;2.56;1.91;1.08
685bb94f-effc-43a6-8cae-b79ee3fd168e;CRKR;Airport CRKR;30;15;11;5;5.08;4.14;3.59;1.07;2.83;2.59;2.5;1.53
d5395771-fa30-4fac-98d4-f055cc4e717f;KDQV;Airport KDQV;47;35;23;4;7.1;4.55;3.65;1.56;2.98;2.71;2.49;1.46
4e78adec-c241-445a-8812-af8baeb2d33a;ZUPK;Airport ZUPK;28;21;13;5;7.51;5.7;4.51;1.16;3.18;2.89;2.12;1.89
ae66dc8a-f1ef-4f2a-b7bb-812a71daaf32;JTJI;Airport JTJI;48;34;18;6;7.41;5.53;4.8;1.21;3.33;2.27;2.05;1.42
69036f6d-d854-4f73-bcdc-7d3284883c4d;JWPG;Airport JWPG;39;22;16;6;7.48;5.54;4.14;1.94;2.31;2.13;1.8;1.33
12b3078b-d232-4c04-bb48-4fc0ad40c5e6;MUQO;Airport MUQO;42;32;5;4;5.28;4.64;4.53;1.19;3.16;2.78;2.47;1.4
5aabe777-2e98-4f7c-ac3f-7c9d37e89ed6;KNOB;Airport KNOB;30;29;7;4;6.0;5.78;4.34;1.81;2.71;2.54;2.49;1.3
ae6be2d9-76cc-4f68-ab68-0de9d08855e1;JNYS;Airport JNYS;38;30;13;5;7.04;6.45;4.17;1.24;2.24;2.2;1.98;1.73
04312932-489a-4366-99ba-9d2a3db8c165;JAQA;Airport JAQA;44;32;23;5;6.41;6.37;4.17;1.62;2.53;2.37;2.17;1.66
303dea3b-25ae-490f-8abc-9ed5c2c8ceda;PCQC;Airport PCQC;30;14;8;4;6.99;6.27;3.89;1.68;3.09;2.7;2.38;1.13
d2c4bd06-c993-4167-a02e-e62fd8a787fe;KCVP;Airport KCVP;24;14;10;6;7.99;6.42;3.89;1.44;3.16;2.5;2.08;1.84
4dd20623-c80b-49e0-8d62-d3cc6b23c6cf;ZOLC;Airport ZOLC;37;36;10;6;7.99;4.47;4.34;1.85;3.0;2.8;2.11;1.13
a9175bdb-bb28-4832-9391-f4123f4c6d75;NHCX;Airport NHCX;32;28;16;6;6.63;4.78;4.23;1.16;3.21;2.96;1.94;1.35
4cfab860-79fc-4986-9da9-98ccea453dda;RUXP;Airport RUXP;47;21;17;6;6.75;6.36;4.38;1.53;3.04;2.43;2.11;1.19
9cf3a51d-daa0-4d69-8d4e-57f3bfaf1797;SCMS;Airport SCMS;33;32;22;6;5.69;5.61;4.07;1.86;3.18;2.98;2.47;1.55
aeffe431-4dcc-45c5-9f1d-2f39f01731c0;XAES;Airport XAES;22;17;13;4;6.53;4.03;3.58;1.49;2.89;2.67;2.04;1.45
f816466b-8a99-48cc-85ee-ff7a6ffea809;KNEZ;Airport KNEZ;48;30;10;4;5.1;5.02;3.53;1.44;3.06;2.88;2.16;1.88
2ee55a60-983f-496b-aa03-e0c3c78bea05;UWRG;Airport UWRG;36;34;21;4;6.01;5.97;4.6;1.77;3.06;2.51;2.41;1.87
aeef11cb-b019-45ea-81e2-8f4188c56c8d;APPS;Airport APPS;33;20;15;5;6.23;5.84;4.55;1.96;3.17;2.84;2.17;1.9
171b978f-7438-4931-9bd9-0ccfca16162a;PGKG;Airport PGKG;48;31;18;5;7.13;5.33;3.6;1.63;3.25;2.55;2.07;1.0
62d1f313-cf74-427c-9902-958e43fd9025;BKZT;Airport BKZT;43;20;11;5;7.72;6.85;4.93;1.65;2.68;2.52;2.29;1.92
988ca592-2fd1-4b3d-9565-6f8086f7d3a5;GCUM;Airport GCUM;40;34;12;6;6.79;4.82;4.61;1.96;2.99;2.91;2.33;1.2
cf88ab0b-025b-4293-b3bb-8477fee9502e;QXBF;Airport QXBF;37;31;19;6;7.97;6.8;4.08;1.56;3.21;2.23;1.55;1.53
22846385-4d13-44ae-85b6-1cdd4ac6c897;AQUO;Airport AQUO;42;22;19;5;7.89;5.17;4.96;1.18;3.1;2.54;2.47;1.29
49796dbb-f151-4d60-a10e-c49c9355ce44;YJXD;Airport YJXD;46;23;13;5;6.39;6.31;3.52;1.91;3.1;2.47;2.14;1.08
de46c473-3f67-4437-8da2-d8d00bde87b7;KYIS;Airport KYIS;43;21;15;5;7.25;6.83;4.1;1.22;3.12;2.81;2.1;1.74
d13ae556-66ab-4479-a405-572485d86a61;MVAE;Airport MVAE;34;25;20;5;5.4;4.15;3.56;1.6;2.8;2.52;2.39;1.69
a3e725c4-7029-41bb-a755-1286464e1071;TZLH;Airport TZLH;47;19;13;5;6.43;6.35;3.82;1.18;3.29;2.84;2.3;1.95
1725aca4-fc17-4ac0-870c-15862f5b5b49;BMMC;Airport BMMC;39;28;22;5;6.08;5.99;3.72;1.1;3.46;2.92;2.04;1.29
8fe1d221-d863-4a94-ace0-13b7bab4623f;PUFU;Airport PUFU;36;23;11;6;7.83;4.84;4.06;1.29;2.93;2.31;2.18;1.33
f72eaf3c-ca9f-4a58-9ccb-38199706e99c;TAEE;Airport TAEE;44;31;23;5;7.81;6.71;3.93;1.5;2.99;2.8;2.48;1.15
99a7134e-8483-460d-9acc-a4f0d345538c;KOXT;Airport KOXT;43;31;16;5;5.5;5.0;4.41;1.64;3.16;2.83;2.27;1.8
046ee49c-c589-49b8-bc99-fcc79c4e5860;ZHCC;Airport ZHCC;44;22;17;6;5.21;4.82;4.47;1.02;3.34;1.85;1.6;1.39
47fcae15-5c45-4dfe-be9c-21f3bde0e65f;STDQ;Airport STDQ;32;20;14;4;6.19;4.94;4.8;1.46;3.2;2.5;2.44;1.57
