id;code;name;first_processing_time;business_processing_time;premium_economy_processing_time;economy_processing_time;first_processing_cost;business_processing_cost;premium_economy_processing_cost;economy_processing_cost;first_loading_cost;business_loading_cost;premium_economy_loading_cost;economy_loading_cost;initial_fc_stock;initial_bc_stock;initial_pe_stock;initial_ec_stock;capacity_fc;capacity_bc;capacity_pe;capacity_ec
8aefe544-6d88-4e04-84be-88a95812c344;HUB1;Main Hub Airport;6;4;2;1;8.0;6.0;2.0;1.0;1.0;0.75;0.5;0.5;1824;6543;3710;19932;26286;26286;19692;105110
b543decd-6239-4adb-92e2-de1cd4aa3413;QIDQ;Airport QIDQ;43;32;23;6;7.39;4.07;3.94;1.99;3.22;2.49;1.87;1.09;136;144;121;332;455;455;632;2209
4a32e631-1538-438a-a1b7-3a9330f05679;RWIU;Airport RWIU;32;30;9;6;7.04;6.8;4.03;1.57;3.28;2.85;2.37;1.0;117;212;134;438;438;438;593;2594
c5e5b2c0-2b51-4d3d-9012-a49461bf49a6;AFPJ;Airport AFPJ;37;34;21;5;6.38;4.76;4.54;1.78;2.75;2.56;1.91;1.08;129;124;86;61;641;641;472;1174
685bb94f-effc-43a6-8cae-b79ee3fd168e;CRKR;Airport CRKR;30;15;11;5;5.08;4.14;3.59;1.07;2.83;2.59;2.5;1.53;168;174;157;106;728;728;363;499
d5395771-fa30-4fac-98d4-f055cc4e717f;KDQV;Airport KDQV;47;35;23;4;7.1;4.55;3.65;1.56;2.98;2.71;2.49;1.46;119;237;140;492;782;782;552;2981
4e78adec-c241-445a-8812-af8baeb2d33a;ZUPK;Airport ZUPK;28;21;13;5;7.51;5.7;4.51;1.16;3.18;2.89;2.12;1.89;158;240;83;517;455;455;547;1958
ae66dc8a-f1ef-4f2a-b7bb-812a71daaf32;JTJI;Airport JTJI;48;34;18;6;7.41;5.53;4.8;1.21;3.33;2.27;2.05;1.42;102;135;113;148;421;421;339;1270
69036f6d-d854-4f73-bcdc-7d3284883c4d;JWPG;Airport JWPG;39;22;16;6;7.48;5.54;4.14;1.94;2.31;2.13;1.8;1.33;226;350;162;720;702;702;583;1607
12b3078b-d232-4c04-bb48-4fc0ad40c5e6;MUQO;Airport MUQO;42;32;5;4;5.28;4.64;4.53;1.19;3.16;2.78;2.47;1.4;175;128;138;218;578;578;629;1752
5aabe777-2e98-4f7c-ac3f-7c9d37e89ed6;KNOB;Airport KNOB;30;29;7;4;6.0;5.78;4.34;1.81;2.71;2.54;2.49;1.3;182;116;159;275;547;547;479;1527
ae6be2d9-76cc-4f68-ab68-0de9d08855e1;JNYS;Airport JNYS;38;30;13;5;7.04;6.45;4.17;1.24;2.24;2.2;1.98;1.73;163;75;110;90;656;656;414;1614
04312932-489a-4366-99ba-9d2a3db8c165;JAQA;Airport JAQA;44;32;23;5;6.41;6.37;4.17;1.62;2.53;2.37;2.17;1.66;141;100;105;77;370;370;489;767
303dea3b-25ae-490f-8abc-9ed5c2c8ceda;PCQC;Airport PCQC;30;14;8;4;6.99;6.27;3.89;1.68;3.09;2.7;2.38;1.13;192;190;199;688;656;656;678;1469
d2c4bd06-c993-4167-a02e-e62fd8a787fe;KCVP;Airport KCVP;24;14;10;6;7.99;6.42;3.89;1.44;3.16;2.5;2.08;1.84;172;154;96;202;375;375;566;1498
4dd20623-c80b-49e0-8d62-d3cc6b23c6cf;ZOLC;Airport ZOLC;37;36;10;6;7.99;4.47;4.34;1.85;3.0;2.8;2.11;1.13;134;278;233;575;726;726;453;1362
a9175bdb-bb28-4832-9391-f4123f4c6d75;NHCX;Airport NHCX;32;28;16;6;6.63;4.78;4.23;1.16;3.21;2.96;1.94;1.35;163;140;120;114;767;767;743;1815
4cfab860-79fc-4986-9da9-98ccea453dda;RUXP;Airport RUXP;47;21;17;6;6.75;6.36;4.38;1.53;3.04;2.43;2.11;1.19;156;122;121;209;818;818;503;2817
9cf3a51d-daa0-4d69-8d4e-57f3bfaf1797;SCMS;Airport SCMS;33;32;22;6;5.69;5.61;4.07;1.86;3.18;2.98;2.47;1.55;150;261;198;881;453;453;537;1936
aeffe431-4dcc-45c5-9f1d-2f39f01731c0;XAES;Airport XAES;22;17;13;4;6.53;4.03;3.58;1.49;2.89;2.67;2.04;1.45;146;164;100;168;469;469;307;823
