depart_code;arrival_code;scheduled_hour;scheduled_arrival_hour;arrival_next_day;distance_km;Mon;Tue;Wed;Thu;Fri;Sat;Sun
HUB1;QIDQ;4;6;0;1063;1;0;1;1;0;1;1
QIDQ;HUB1;7;9;0;1063;1;0;1;1;0;1;1
HUB1;RWIU;15;20;0;3816;0;1;0;0;1;0;0
RWIU;HUB1;21;2;1;3816;0;1;0;0;1;0;0
HUB1;AFPJ;5;12;0;5170;0;1;0;1;1;0;1
AFPJ;HUB1;14;21;0;5170;0;1;0;1;1;0;1
HUB1;CRKR;6;11;0;4247;1;0;1;1;0;1;1
CRKR;HUB1;12;17;0;4247;1;0;1;1;0;1;1
HUB1;KDQV;12;15;0;2273;0;1;0;0;1;1;0
KDQV;HUB1;17;20;0;2273;0;1;0;0;1;1;0
HUB1;ZUPK;12;21;0;6883;1;0;1;1;0;1;1
ZUPK;HUB1;22;7;1;6883;1;0;1;1;0;1;1
HUB1;JTJI;15;20;0;3960;0;1;0;1;1;0;1
JTJI;HUB1;22;3;1;3960;0;1;0;1;1;0;1
HUB1;JWPG;11;17;0;5011;0;1;0;1;1;0;1
JWPG;HUB1;18;0;1;5011;0;1;0;1;1;0;1
HUB1;MUQO;21;0;1;1881;1;0;1;1;0;1;1
MUQO;HUB1;1;4;0;1881;1;0;1;1;0;1;1
HUB1;KNOB;8;12;0;2608;0;0;0;0;1;0;0
KNOB;HUB1;14;18;0;2608;0;0;0;0;1;0;0
HUB1;JNYS;11;13;0;1386;0;1;0;1;1;0;1
JNYS;HUB1;14;16;0;1386;0;1;0;1;1;0;1
HUB1;JAQA;19;1;1;4508;0;0;0;0;1;0;0
JAQA;HUB1;2;8;0;4508;0;0;0;0;1;0;0
HUB1;PCQC;17;1;1;6175;0;1;0;0;1;1;0
PCQC;HUB1;3;11;0;6175;0;1;0;0;1;1;0
HUB1;KCVP;15;19;0;3130;0;1;0;1;1;0;1
KCVP;HUB1;20;0;1;3130;0;1;0;1;1;0;1
HUB1;ZOLC;1;9;0;6394;0;1;0;1;1;0;1
ZOLC;HUB1;10;18;0;6394;0;1;0;1;1;0;1
HUB1;NHCX;13;15;0;1456;0;1;0;1;1;0;1
NHCX;HUB1;17;19;0;1456;0;1;0;1;1;0;1
HUB1;RUXP;7;12;0;3846;1;1;1;1;1;1;1
RUXP;HUB1;14;19;0;3846;1;1;1;1;1;1;1
HUB1;SCMS;2;4;0;1422;0;1;0;0;1;1;0
SCMS;HUB1;6;8;0;1422;0;1;0;0;1;1;0
HUB1;XAES;16;18;0;873;0;0;0;0;1;0;0
XAES;HUB1;19;21;0;873;0;0;0;0;1;0;0
HUB1;KNEZ;19;3;1;6738;0;1;0;1;1;0;1
KNEZ;HUB1;5;13;0;6738;0;1;0;1;1;0;1
HUB1;UWRG;20;22;0;983;0;1;0;0;1;0;0
UWRG;HUB1;0;2;0;983;0;1;0;0;1;0;0
HUB1;APPS;9;17;0;6363;1;1;1;1;1;1;1
APPS;HUB1;18;2;1;6363;1;1;1;1;1;1;1
HUB1;PGKG;5;7;0;1158;0;0;0;0;1;0;0
PGKG;HUB1;9;11;0;1158;0;0;0;0;1;0;0
HUB1;BKZT;11;17;0;4661;0;1;0;0;1;0;0
BKZT;HUB1;19;1;1;4661;0;1;0;0;1;0;0
HUB1;GCUM;10;12;0;1478;0;0;0;0;1;0;0
GCUM;HUB1;14;16;0;1478;0;0;0;0;1;0;0
